station,start_min,end_min,duration_min,cause,start_timestamp,end_timestamp
S1_CNC_Machining,,44205.015401067205,39.761021323992765,spindle_failure,2024-01-31 22:05:42,2024-01-31 22:45:25
S2_Welding,83606.58382426946,83631.67292420502,25.91823591622376,wire_feed_jam,2024-02-28 07:26:10,2024-02-28 07:51:44
S1_CNC_Machining,83561.74282638346,83592.01816889449,30.85161462679649,spindle_failure,2024-02-28 06:42:01,2024-02-28 07:12:24
S3_Assembly,64987.68925201299,65010.46829424714,22.779240715673144,fixture_jam,2024-02-15 09:07:27,2024-02-15 09:30:11
S2_Welding,59676.109524992455,59708.547437023444,32.92548774901327,gas_flow_issue,2024-02-11 16:35:59,2024-02-11 17:08:44
S1_CNC_Machining,115084.61624192179,115108.64330659661,25.05355970738684,tool_breakage,2024-03-21 04:04:16,2024-03-21 04:29:07
S2_Welding,,111250.46589887117,29.907221487276974,power_supply_fault,2024-03-18 11:40:17,2024-03-18 12:10:20
S3_Assembly,60316.5879996104,60334.61163574859,18.57630498462999,fixture_jam,2024-02-12 03:16:14,2024-02-12 03:34:59
S2_Welding,14175.920741908547,14210.83448467203,35.21180271590384,wire_feed_jam,2024-01-11 02:16:06,2024-01-11 02:51:05
S2_Welding,121.27381993184481,152.23433541897066,31.101236433286022,electrode_wear,2024-01-01 08:01:34,2024-01-01 08:32:37
S5_Packaging,26069.759098225775,26096.16066514431,26.10269604902701,seal_bar_failure,2024-01-19 08:30:09,2024-01-19 08:56:12
S5_Packaging,46844.5874891108,46866.635102458764,20.81193441935679,conveyor_jam,2024-02-02 18:45:03,2024-02-02 19:06:21
S1_CNC_Machining,109904.1526600663,109951.59198654782,46.57094214299454,tool_breakage,2024-03-17 13:44:16,2024-03-17 14:31:10
S5_Packaging,117168.69500770906,117195.3787816546,25.99159591687702,label_printer_fault,2024-03-22 14:48:52,2024-03-22 15:15:20
S4_Inspection,92369.21494231168,92393.0317358249,24.510255444567278,calibration_drift,2024-03-05 09:28:56,2024-03-05 09:53:04
S3_Assembly,3859.867438346969,3873.1562953055272,13.389468435168244,pneumatic_tool_failure,2024-01-03 22:19:29,2024-01-03 22:32:39
S3_Assembly,98351.32291916458,98361.94305392545,11.38835105984315,pneumatic_tool_failure,2024-03-09 13:10:54,2024-03-09 13:21:48
S1_CNC_Machining,48976.22003502088,49024.4345210773,47.92083819998574,spindle_failure,2024-02-04 06:15:44,2024-02-04 07:04:06
S1_CNC_Machining,17746.225376350285,17791.71764897337,46.19052349237885,tool_breakage,2024-01-13 13:46:03,2024-01-13 14:32:12
S1_CNC_Machining,41611.222892843325,41644.38902320833,33.572511571848935,tool_breakage,2024-01-30 03:30:46,2024-01-30 04:04:40
S3_Assembly,119196.69696014412,119208.31820563586,12.166732258719957,fixture_jam,2024-03-24 00:36:51,2024-03-24 00:48:41
S4_Inspection,67439.27567028908,67452.77236097088,14.223499917992319,camera_failure,2024-02-17 01:59:10,2024-02-17 02:13:09
S5_Packaging,32147.982714624533,32183.258317710734,35.1861145243749,label_printer_fault,2024-01-23 13:48:03,2024-01-23 14:23:23
S4_Inspection,90670.99467753044,90682.99801096901,12.502566075538246,calibration_drift,2024-03-04 05:10:30,2024-03-04 05:22:30
S2_Welding,59194.97110220994,59230.31171128845,35.49572623378426,power_supply_fault,2024-02-11 08:35:16,2024-02-11 09:10:26
S5_Packaging,87884.58227132847,87928.65835659819,44.24264352940312,seal_bar_failure,2024-03-02 06:44:15,2024-03-02 07:28:12
S2_Welding,24466.712188681624,24501.125932885483,34.48770050818567,electrode_wear,2024-01-18 05:46:27,2024-01-18 06:20:52
S2_Welding,56494.016721442225,56523.82597361507,29.388312800505684,power_supply_fault,2024-02-09 11:33:57,2024-02-09 12:03:37
